filename,semantic_label,partition,numeric_label,task
000890.png,golden_retriever,test,0.0,target
005954.png,collie,val,1.0,target
000637.png,golden_retriever,test,0.0,target
000719.png,golden_retriever,val,0.0,target
000376.png,golden_retriever,val,0.0,target
001423_aug_0.png,golden_retriever,train,0.0,target
004213.png,collie,val,1.0,target
000103.png,collie,test,1.0,target
003304.png,golden_retriever,val,0.0,target
001822_aug_0.png,collie,train,1.0,target
005180.png,collie,val,1.0,target
000017.png,collie,test,1.0,target
002730_aug_0.png,golden_retriever,train,0.0,target
002663.png,golden_retriever,val,0.0,target
003231_aug_0.png,golden_retriever,train,0.0,target
005999_aug_0.png,collie,train,1.0,target
003331_aug_0.png,golden_retriever,train,0.0,target
002227_aug_0.png,collie,train,1.0,target
000444_aug_0.png,golden_retriever,train,0.0,target
000967_aug_0.png,golden_retriever,train,0.0,target
000018_aug_0.png,golden_retriever,train,0.0,target
000286_aug_0.png,golden_retriever,train,0.0,target
001558_aug_0.png,collie,train,1.0,target
001988_aug_0.png,collie,train,1.0,target
001829.png,golden_retriever,val,0.0,target
000875_aug_0.png,collie,train,1.0,target
000403.png,golden_retriever,test,0.0,target
007459.png,collie,test,1.0,target
000738_aug_0.png,golden_retriever,train,0.0,target
003212_aug_0.png,golden_retriever,train,0.0,target
000931.png,golden_retriever,test,0.0,target
006867.png,collie,test,1.0,target
001141_aug_0.png,collie,train,1.0,target
002520.png,,challenge,,target
004495_aug_0.png,collie,train,1.0,target
000738.png,golden_retriever,test,0.0,target
000933.png,golden_retriever,val,0.0,target
000410.png,golden_retriever,test,0.0,target
007710.png,collie,test,1.0,target
000211.png,collie,test,1.0,target
000180_aug_0.png,golden_retriever,train,0.0,target
000935.png,golden_retriever,test,0.0,target
001415_aug_0.png,collie,train,1.0,target
001664.png,golden_retriever,val,0.0,target
002476_aug_0.png,collie,train,1.0,target
002945.png,collie,val,1.0,target
000094_aug_0.png,golden_retriever,train,0.0,target
000575.png,golden_retriever,val,0.0,target
005400.png,,challenge,,target
001613_aug_0.png,golden_retriever,train,0.0,target
003364_aug_0.png,golden_retriever,train,0.0,target
001232_aug_0.png,collie,train,1.0,target
000785.png,golden_retriever,test,0.0,target
000235_aug_0.png,golden_retriever,train,0.0,target
003715_aug_0.png,collie,train,1.0,target
000042.png,collie,val,1.0,target
004410_aug_0.png,collie,train,1.0,target
000422.png,golden_retriever,val,0.0,target
000830.png,golden_retriever,test,0.0,target
002672_aug_0.png,collie,train,1.0,target
003195.png,golden_retriever,val,0.0,target
007194.png,collie,test,1.0,target
005184_aug_0.png,collie,train,1.0,target
002944.png,collie,val,1.0,target
002948.png,golden_retriever,val,0.0,target
004996_aug_0.png,collie,train,1.0,target
006237.png,collie,test,1.0,target
003629_aug_0.png,collie,train,1.0,target
000398_aug_0.png,golden_retriever,train,0.0,target
000600.png,golden_retriever,test,0.0,target
000358.png,golden_retriever,val,0.0,target
001477.png,golden_retriever,val,0.0,target
001751_aug_0.png,golden_retriever,train,0.0,target
000390.png,golden_retriever,val,0.0,target
000910_aug_0.png,golden_retriever,train,0.0,target
006225.png,collie,test,1.0,target
000159.png,collie,val,1.0,target
004103_aug_0.png,collie,train,1.0,target
000149.png,collie,test,1.0,target
002652_aug_0.png,golden_retriever,train,0.0,target
006030.png,,challenge,,target
000359.png,golden_retriever,val,0.0,target
004613.png,collie,val,1.0,target
000191_aug_0.png,golden_retriever,train,0.0,target
000251.png,golden_retriever,val,0.0,target
004763_aug_0.png,collie,train,1.0,target
004719_aug_0.png,collie,train,1.0,target
003774_aug_0.png,collie,train,1.0,target
006798_aug_0.png,collie,train,1.0,target
000583_aug_0.png,golden_retriever,train,0.0,target
004294_aug_0.png,collie,train,1.0,target
001130.png,golden_retriever,val,0.0,target
000872.png,,challenge,,target
005918_aug_0.png,collie,train,1.0,target
002356.png,golden_retriever,test,0.0,target
002273.png,golden_retriever,test,0.0,target
004624_aug_0.png,collie,train,1.0,target
003287_aug_0.png,golden_retriever,train,0.0,target
002499.png,golden_retriever,test,0.0,target
005338_aug_0.png,collie,train,1.0,target
002709_aug_0.png,golden_retriever,train,0.0,target
003095.png,golden_retriever,val,0.0,target
003175.png,collie,val,1.0,target
000241.png,golden_retriever,val,0.0,target
003323_aug_0.png,golden_retriever,train,0.0,target
003072.png,collie,val,1.0,target
001726_aug_0.png,golden_retriever,train,0.0,target
001075.png,golden_retriever,val,0.0,target
003739.png,collie,val,1.0,target
002873_aug_0.png,collie,train,1.0,target
002103_aug_0.png,collie,train,1.0,target
003664_aug_0.png,collie,train,1.0,target
001722.png,collie,val,1.0,target
002770.png,golden_retriever,val,0.0,target
001461_aug_0.png,golden_retriever,train,0.0,target
002305_aug_0.png,golden_retriever,train,0.0,target
000410.png,golden_retriever,val,0.0,target
001402_aug_0.png,golden_retriever,train,0.0,target
003357.png,golden_retriever,val,0.0,target
001489.png,,challenge,,target
004969.png,collie,val,1.0,target
005903.png,collie,val,1.0,target
001768_aug_0.png,collie,train,1.0,target
005675_aug_0.png,collie,train,1.0,target
002763_aug_0.png,golden_retriever,train,0.0,target
007425.png,collie,test,1.0,target
000367.png,golden_retriever,val,0.0,target
004111.png,collie,val,1.0,target
001023.png,collie,test,1.0,target
004274.png,collie,val,1.0,target
003393_aug_0.png,golden_retriever,train,0.0,target
002723_aug_0.png,collie,train,1.0,target
003415_aug_0.png,golden_retriever,train,0.0,target
002612_aug_0.png,golden_retriever,train,0.0,target
001594_aug_0.png,collie,train,1.0,target
000616_aug_0.png,golden_retriever,train,0.0,target
002500.png,collie,val,1.0,target
001475.png,golden_retriever,val,0.0,target
004989.png,collie,val,1.0,target
005025_aug_0.png,collie,train,1.0,target
002465_aug_0.png,golden_retriever,train,0.0,target
003044.png,golden_retriever,val,0.0,target
000101.png,,challenge,,target
000393_aug_0.png,golden_retriever,train,0.0,target
000665.png,collie,val,1.0,target
000986_aug_0.png,collie,train,1.0,target
003632.png,collie,val,1.0,target
002241.png,golden_retriever,test,0.0,target
001682.png,golden_retriever,val,0.0,target
000556.png,golden_retriever,val,0.0,target
005908.png,collie,val,1.0,target
003764_aug_0.png,collie,train,1.0,target
001704.png,golden_retriever,val,0.0,target
002802.png,,challenge,,target
007040.png,,challenge,,target
002287_aug_0.png,collie,train,1.0,target
004854_aug_0.png,collie,train,1.0,target
000224_aug_0.png,golden_retriever,train,0.0,target
